
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName                                                                        PSComputerName
     18    16.88      23.34      25.25  261536   0 MoUsoCoreWorker                                                                    172.16.2.77
     96   476.07     251.74  46,583.73    4908   0 MsMpEng                                                                            172.16.2.77
     12     7.10       7.19      86.39    5608   0 NisSrv                                                                             172.16.2.77
     12     3.37       6.71      15.84    1900   0 NVDisplay.Container                                                                172.16.2.77
     24    24.13      15.23      96.70   56072   3 NVDisplay.Container                                                                172.16.2.77
     20    22.70       9.92      33.91  153028   4 NVDisplay.Container                                                                172.16.2.77
     14     4.62       2.95       4.72    4432   0 NvTelemetryContainer                                                               172.16.2.77
     35    24.58      27.07     156.47  275168   3 OneDrive                                                                           172.16.2.77
    194   310.99     402.77     228.61  122804   3 OPCRouterConfig                                                                    172.16.2.77
     20     5.11      19.34       9.06  162392   3 PanGPA                                                                             172.16.2.77
    151    13.91       8.42       4.53    4456   0 PanGPS                                                                             172.16.2.77
     82    71.66     136.41      12.70  280732   3 PhoneExperienceHost                                                                172.16.2.77
     39    68.88      22.61       7.12   42576   3 powershell                                                                         172.16.2.77
     27    23.80       0.92       0.30   10712   0 PresentationFontCache                                                              172.16.2.77
     18     4.49      16.30      40.11   97368   3 rdpclip                                                                            172.16.2.77
     16     6.63      32.00      37.34     100   0 Registry                                                                           172.16.2.77
     11     2.18       4.96       1.38    4552   0 RegSrvc                                                                            172.16.2.77
      8     1.47       1.12       0.03    4600   0 RstMwService                                                                       172.16.2.77
      9     1.73       1.93       0.11    3020   0 RtkAudioService64                                                                  172.16.2.77
     14     3.84       7.34       1.19    1244   3 RuntimeBroker                                                                      172.16.2.77
     23     7.57      19.34      13.81   67276   3 RuntimeBroker                                                                      172.16.2.77
     23     8.43      14.80       9.44  103040   3 RuntimeBroker                                                                      172.16.2.77
     26     9.77      29.10      10.20  178500   3 RuntimeBroker                                                                      172.16.2.77
     21    12.99      25.10      34.61  226280   3 RuntimeBroker                                                                      172.16.2.77
     36    18.13      42.64      32.12  259416   3 RuntimeBroker                                                                      172.16.2.77
    111   167.85     217.00      71.58  248932   3 SearchApp                                                                          172.16.2.77
    171 2,293.18     616.80  48,509.16   11060   0 SearchIndexer                                                                      172.16.2.77
     17     4.96       9.75       3.67   13088   0 SecurityHealthService                                                              172.16.2.77
     39     8.94      29.76       2.27   93536   3 server_admin                                                                       172.16.2.77
     47    10.59       5.22       2.80    4232   0 server_eventlog                                                                    172.16.2.77
     72    24.83      47.22       6.34   76644   0 server_runtime                                                                     172.16.2.77
     14     9.61      10.53     381.20     876   0 services                                                                           172.16.2.77
     55    59.12      32.07      72.77    1476   0 ServiceShell                                                                       172.16.2.77
      8     7.44       7.03     301.84   11172   0 SgrmBroker                                                                         172.16.2.77
     39    43.55      77.77      21.30   88536   3 ShellExperienceHost                                                                172.16.2.77
     19     7.81      21.88      17.80   20784   3 sihost                                                                             172.16.2.77
      4     1.04       0.49       0.28     472   0 smss                                                                               172.16.2.77
     26     9.16      14.75      45.72    3952   0 spoolsv                                                                            172.16.2.77
      7     1.36       1.55       0.00    4628   0 ssh-agent                                                                          172.16.2.77
     13     2.69       3.31     123.69    4644   0 sshd                                                                               172.16.2.77
     31    23.26      48.54      12.61  130324   3 StartMenuExperienceHost                                                            172.16.2.77
    133   105.63      69.87     222.05   15640   0 SupportAssistAgent                                                                 172.16.2.77
